"b,g",0.9562499999999999;0.9624999999999999,0.9562499999999999;0.9624999999999999,4,0.001,0,2
"b,g",0.8500000000000001;0.8562500000000001,0.9624999999999999;0.96875,4,0.001,0,2
"b,g",0.8500000000000001;0.8562500000000001,1.0187499999999998;1.025,4,0.001,0,2
"b,g",0.8562500000000001;0.8625,1.0125;1.0187499999999998,4,0.001,0,2
"b,g",0.9562499999999999;0.9624999999999999,0.95;0.9562499999999999,4,0.001,0,2
"b,g",0.8500000000000001;0.8562500000000001,0.96875;0.975,4,0.001,0,2
"b,g",0.8562500000000001;0.8625,0.96875;0.975,4,0.001,0,2
"b,g",0.8375000000000001;0.8500000000000001,0.9375;0.95,5,0.0012499999999999957,0,2
"b,g",0.8500000000000001;0.8625,0.95;0.9624999999999999,5,0.0012499999999999957,0,2
"b,g",0.9;0.9125000000000001,0.9125000000000001;0.925,5,0.0012499999999999957,0,2
"b,g",0.9125000000000001;0.925,0.9125000000000001;0.925,5,0.0012499999999999957,0,2
"b,g",0.9624999999999999;0.975,0.95;0.9624999999999999,5,0.0012499999999999957,0,2
"b,g",0.925;0.9375,0.9375;0.95,5,0.0012499999999999957,0,2
"b,g",0.925;0.9375,0.925;0.9375,5,0.0012499999999999957,0,2
"b,g",0.8625;0.875,1.0;1.0125,5,0.0012499999999999957,0,2
"b,g",0.8250000000000001;0.8375000000000001,0.9375;0.95,5,0.0012499999999999957,0,2
"b,g",0.95;0.9624999999999999,0.9624999999999999;0.975,5,0.0012499999999999957,0,2
"b,g",0.8250000000000001;0.8375000000000001,0.925;0.9375,5,0.0012499999999999957,0,2
"b,g",0.8625;0.875,0.95;0.9624999999999999,5,0.0012499999999999957,0,2
"b,g",0.9375;0.95,0.9375;0.95,5,0.0012499999999999957,0,2
"b,g",0.8375000000000001;0.8500000000000001,0.925;0.9375,5,0.0012499999999999957,0,2
"b,g",0.8625;0.875,0.9624999999999999;0.975,5,0.0012499999999999957,0,2
"b,g",0.9;0.9125000000000001,0.9;0.9125000000000001,5,0.0012500000000000067,0,2
"b,g",0.8250000000000001;0.8500000000000001,1.025;1.05,6,0.0025000000000000022,0,2
"b,g",1.025;1.05,1.0;1.025,6,0.0024999999999999914,0,2
"b,g",0.8;0.8250000000000001,1.0;1.025,6,0.0024999999999999914,0,2
"b,g",1.0;1.025,1.0;1.025,6,0.0024999999999999914,0,2
"b,g",0.8;0.8250000000000001,1.025;1.05,6,0.0025000000000000022,0,2
"b,g",0.8250000000000001;0.8500000000000001,1.0;1.025,6,0.0024999999999999914,0,2
