data,b_low,b_up,g_low,g_up
"b,g",1.0671875,1.06796875,0.98828125,0.9890625000000001,1
"b,g",1.065625,1.06640625,0.98828125,0.9890625000000001,1
"b,g",1.065625,1.06640625,0.9890625000000001,0.9898437500000001,1
"b,g",1.0671875,1.06796875,0.9890625000000001,0.9898437500000001,1
"b,g",1.0703125,1.07109375,0.9890625000000001,0.9898437500000001,1
"b,g",1.0703125,1.07109375,0.98828125,0.9890625000000001,1
"b,g",1.06875,1.06953125,0.9890625000000001,0.9898437500000001,1
"b,g",1.06875,1.06953125,0.98828125,0.9890625000000001,1
"b,g",1.0734375,1.07421875,0.99140625,0.9921875,1
"b,g",1.0734375,1.07421875,0.9921875,0.99296875,1
"b,g",1.071875,1.07265625,0.9921875,0.99296875,1
"b,g",1.071875,1.07265625,0.99140625,0.9921875,1
"b,g",1.06875,1.06953125,0.99140625,0.9921875,1
"b,g",1.0703125,1.07109375,0.99140625,0.9921875,1
"b,g",1.06875,1.06953125,0.9921875,0.99296875,1
"b,g",1.0703125,1.07109375,0.9921875,0.99296875,1
"b,g",1.0734375,1.07421875,0.9890625000000001,0.9898437500000001,1
"b,g",1.0625,1.06328125,0.9921875,0.99296875,1
"b,g",1.071875,1.07265625,0.98828125,0.9890625000000001,1
"b,g",1.0625,1.06328125,0.99140625,0.9921875,1
"b,g",1.0734375,1.07421875,0.98828125,0.9890625000000001,1
"b,g",1.0640625,1.06484375,0.99140625,0.9921875,1
"b,g",1.0625,1.06328125,0.98828125,0.9890625000000001,1
"b,g",1.0640625,1.06484375,0.98828125,0.9890625000000001,1
"b,g",1.071875,1.07265625,0.9890625000000001,0.9898437500000001,1
"b,g",1.0640625,1.06484375,0.9890625000000001,0.9898437500000001,1
"b,g",1.065625,1.06640625,0.99140625,0.9921875,1
"b,g",1.0671875,1.06796875,0.9921875,0.99296875,1
"b,g",1.0671875,1.06796875,0.99140625,0.9921875,1
"b,g",1.0640625,1.06484375,0.9921875,0.99296875,1
"b,g",1.065625,1.06640625,0.9921875,0.99296875,1
"b,g",1.0625,1.06328125,0.9890625000000001,0.9898437500000001,1
"b,g",1.0453125,1.04609375,0.9828125,0.98359375,1
"b,g",1.0484375,1.04921875,0.9828125,0.98359375,1
"b,g",1.046875,1.04765625,0.984375,0.98515625,1
"b,g",1.0484375,1.04921875,0.9859375,0.9867187500000001,1
"b,g",1.046875,1.04765625,0.9859375,0.9867187500000001,1
"b,g",1.0484375,1.04921875,0.984375,0.98515625,1
"b,g",1.0453125,1.04609375,0.9859375,0.9867187500000001,1
"b,g",1.046875,1.04765625,0.98125,0.9820312499999999,1
"b,g",1.046875,1.04765625,0.9828125,0.98359375,1
"b,g",1.04375,1.04453125,0.984375,0.98515625,1
"b,g",1.0453125,1.04609375,0.98125,0.9820312499999999,1
"b,g",1.04375,1.04453125,0.98125,0.9820312499999999,1
"b,g",1.04375,1.04453125,0.9828125,0.98359375,1
"b,g",1.04375,1.04453125,0.9859375,0.9867187500000001,1
"b,g",1.0453125,1.04609375,0.984375,0.98515625,1
"b,g",1.0484375,1.04921875,0.98125,0.9820312499999999,1
"b,g",1.046875,1.04765625,0.975,0.97578125,1
"b,g",1.0453125,1.04609375,0.9765625,0.97734375,1
"b,g",1.046875,1.04765625,0.9765625,0.97734375,1
"b,g",1.0484375,1.04921875,0.9765625,0.97734375,1
"b,g",1.0484375,1.04921875,0.975,0.97578125,1
"b,g",1.0453125,1.04609375,0.975,0.97578125,1
"b,g",1.04375,1.04453125,0.975,0.97578125,1
"b,g",1.04375,1.04453125,0.9765625,0.97734375,1
"b,g",1.0453125,1.04609375,0.9781249999999999,0.9789062499999999,1
"b,g",1.04375,1.04453125,0.9796874999999999,0.98046875,1
"b,g",1.0453125,1.04609375,0.9796874999999999,0.98046875,1
"b,g",1.04375,1.04453125,0.9781249999999999,0.9789062499999999,1
"b,g",1.046875,1.04765625,0.9781249999999999,0.9789062499999999,1
"b,g",1.0484375,1.04921875,0.9796874999999999,0.98046875,1
"b,g",1.0484375,1.04921875,0.9781249999999999,0.9789062499999999,1
"b,g",1.046875,1.04765625,0.9796874999999999,0.98046875,1
"b,g",1.0421875,1.04296875,0.9765625,0.97734375,1
"b,g",1.040625,1.04140625,0.975,0.97578125,1
"b,g",1.0390625,1.03984375,0.975,0.97578125,1
"b,g",1.0390625,1.03984375,0.9765625,0.97734375,1
"b,g",1.040625,1.04140625,0.9765625,0.97734375,1
"b,g",1.0375,1.03828125,0.975,0.97578125,1
"b,g",1.0375,1.03828125,0.9765625,0.97734375,1
"b,g",1.0421875,1.04296875,0.975,0.97578125,1
"b,g",1.040625,1.04140625,0.9781249999999999,0.9789062499999999,1
"b,g",1.0375,1.03828125,0.98125,0.9820312499999999,1
"b,g",1.0375,1.03828125,0.9781249999999999,0.9789062499999999,1
"b,g",1.0375,1.03828125,0.9796874999999999,0.98046875,1
"b,g",1.0421875,1.04296875,0.9796874999999999,0.98046875,1
"b,g",1.040625,1.04140625,0.9796874999999999,0.98046875,1
"b,g",1.0390625,1.03984375,0.98125,0.9820312499999999,1
"b,g",1.0390625,1.03984375,0.9781249999999999,0.9789062499999999,1
"b,g",1.0375,1.03828125,0.9828125,0.98359375,1
"b,g",1.0421875,1.04296875,0.9781249999999999,0.9789062499999999,1
"b,g",1.0390625,1.03984375,0.9796874999999999,0.98046875,1
"b,g",1.0390625,1.03984375,0.9828125,0.98359375,1
"b,g",1.0421875,1.04296875,0.984375,0.98515625,1
"b,g",1.0421875,1.04296875,0.9859375,0.9867187500000001,1
"b,g",1.040625,1.04140625,0.984375,0.98515625,1
"b,g",1.040625,1.04140625,0.9859375,0.9867187500000001,1
"b,g",1.040625,1.04140625,0.98125,0.9820312499999999,1
"b,g",1.0375,1.03828125,0.984375,0.98515625,1
"b,g",1.0421875,1.04296875,0.98125,0.9820312499999999,1
"b,g",1.0421875,1.04296875,0.9828125,0.98359375,1
"b,g",1.040625,1.04140625,0.9828125,0.98359375,1
"b,g",1.0390625,1.03984375,0.984375,0.98515625,1
"b,g",1.0390625,1.03984375,0.9859375,0.9867187500000001,1
"b,g",1.0375,1.03828125,0.9859375,0.9867187500000001,1
"b,g",1.0578125,1.05859375,0.9796874999999999,0.98046875,1
"b,g",1.0609375,1.06171875,0.9781249999999999,0.9789062499999999,1
"b,g",1.0578125,1.05859375,0.9781249999999999,0.9789062499999999,1
"b,g",1.05625,1.05703125,0.9781249999999999,0.9789062499999999,1
"b,g",1.0609375,1.06171875,0.9796874999999999,0.98046875,1
"b,g",1.059375,1.06015625,0.9796874999999999,0.98046875,1
"b,g",1.059375,1.06015625,0.9781249999999999,0.9789062499999999,1
"b,g",1.05625,1.05703125,0.9796874999999999,0.98046875,1
"b,g",1.053125,1.05390625,0.9796874999999999,0.98046875,1
"b,g",1.0546875,1.05546875,0.9781249999999999,0.9789062499999999,1
"b,g",1.059375,1.06015625,0.9765625,0.97734375,1
"b,g",1.0609375,1.06171875,0.975,0.97578125,1
"b,g",1.0546875,1.05546875,0.9796874999999999,0.98046875,1
"b,g",1.059375,1.06015625,0.975,0.97578125,1
"b,g",1.0609375,1.06171875,0.98125,0.9820312499999999,1
"b,g",1.0609375,1.06171875,0.9828125,0.98359375,1
"b,g",1.0609375,1.06171875,0.9765625,0.97734375,1
"b,g",1.059375,1.06015625,0.98125,0.9820312499999999,1
"b,g",1.059375,1.06015625,0.9828125,0.98359375,1
"b,g",1.053125,1.05390625,0.9781249999999999,0.9789062499999999,1
"b,g",1.05625,1.05703125,0.9828125,0.98359375,1
"b,g",1.0578125,1.05859375,0.98125,0.9820312499999999,1
"b,g",1.0578125,1.05859375,0.9828125,0.98359375,1
"b,g",1.05625,1.05703125,0.98125,0.9820312499999999,1
"b,g",1.0515625,1.05234375,0.9796874999999999,0.98046875,1
"b,g",1.0515625,1.05234375,0.9765625,0.97734375,1
"b,g",1.0515625,1.05234375,0.99140625,0.9921875,1
"b,g",1.0515625,1.05234375,0.975,0.97578125,1
"b,g",1.0609375,1.06171875,0.984375,0.98515625,1
"b,g",1.05,1.05078125,0.9765625,0.97734375,1
"b,g",1.0578125,1.05859375,0.984375,0.98515625,1
"b,g",1.0515625,1.05234375,0.9921875,0.99296875,1
"b,g",1.05,1.05078125,0.975,0.97578125,1
"b,g",1.05,1.05078125,0.9796874999999999,0.98046875,1
"b,g",1.053125,1.05390625,0.9765625,0.97734375,1
"b,g",1.05,1.05078125,0.9781249999999999,0.9789062499999999,1
"b,g",1.0515625,1.05234375,0.9781249999999999,0.9789062499999999,1
"b,g",1.0546875,1.05546875,0.9765625,0.97734375,1
"b,g",1.05625,1.05703125,0.984375,0.98515625,1
"b,g",1.05625,1.05703125,0.9859375,0.9867187500000001,1
"b,g",1.0578125,1.05859375,0.9859375,0.9867187500000001,1
"b,g",1.053125,1.05390625,0.975,0.97578125,1
"b,g",1.05,1.05078125,0.99140625,0.9921875,1
"b,g",1.0578125,1.05859375,0.9765625,0.97734375,1
"b,g",1.0546875,1.05546875,0.98828125,0.9890625000000001,1
"b,g",1.053125,1.05390625,0.9890625000000001,0.9898437500000001,1
"b,g",1.05,1.05078125,0.9921875,0.99296875,1
"b,g",1.059375,1.06015625,0.9859375,0.9867187500000001,1
"b,g",1.0609375,1.06171875,0.9859375,0.9867187500000001,1
"b,g",1.05625,1.05703125,0.975,0.97578125,1
"b,g",1.0578125,1.05859375,0.975,0.97578125,1
"b,g",1.05625,1.05703125,0.9765625,0.97734375,1
"b,g",1.059375,1.06015625,0.984375,0.98515625,1
"b,g",1.0546875,1.05546875,0.975,0.97578125,1
"b,g",1.053125,1.05390625,0.98828125,0.9890625000000001,1
"b,g",1.0546875,1.05546875,0.9890625000000001,0.9898437500000001,1
"b,g",1.05,1.05078125,0.98828125,0.9890625000000001,1
"b,g",1.05,1.05078125,0.9890625000000001,0.9898437500000001,1
"b,g",1.0515625,1.05234375,0.98828125,0.9890625000000001,1
"b,g",1.0515625,1.05234375,0.9890625000000001,0.9898437500000001,1
"b,g",1.053125,1.05390625,0.99140625,0.9921875,1
"b,g",1.0546875,1.05546875,0.9921875,0.99296875,1
"b,g",1.053125,1.05390625,0.9921875,0.99296875,1
"b,g",1.0546875,1.05546875,0.99140625,0.9921875,1
"b,g",1.053125,1.05390625,0.984375,0.98515625,1
"b,g",1.053125,1.05390625,0.9859375,0.9867187500000001,1
"b,g",1.0546875,1.05546875,0.984375,0.98515625,1
"b,g",1.05,1.05078125,0.98125,0.9820312499999999,1
"b,g",1.0546875,1.05546875,0.9859375,0.9867187500000001,1
"b,g",1.053125,1.05390625,0.98125,0.9820312499999999,1
"b,g",1.05625,1.05703125,0.9921875,0.99296875,1
"b,g",1.0578125,1.05859375,0.9921875,0.99296875,1
"b,g",1.05,1.05078125,0.9828125,0.98359375,1
"b,g",1.0578125,1.05859375,0.99140625,0.9921875,1
"b,g",1.0515625,1.05234375,0.984375,0.98515625,1
"b,g",1.05,1.05078125,0.984375,0.98515625,1
"b,g",1.05,1.05078125,0.9859375,0.9867187500000001,1
"b,g",1.0515625,1.05234375,0.9859375,0.9867187500000001,1
"b,g",1.059375,1.06015625,0.98828125,0.9890625000000001,1
"b,g",1.0515625,1.05234375,0.9828125,0.98359375,1
"b,g",1.0515625,1.05234375,0.98125,0.9820312499999999,1
"b,g",1.05625,1.05703125,0.99140625,0.9921875,1
