"ar,c,rho",0.6132812500000001;0.6143750000000001,0.2571875;0.25765625000000003,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16546875;0.1659375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16546875;0.1659375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16499999999999998;0.16546875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16499999999999998;0.16546875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16546875;0.1659375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16546875;0.1659375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16499999999999998;0.16546875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16499999999999998;0.16546875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45749999999999996,0.4225;0.42499999999999993,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.6143750000000001;0.6154687500000001,0.258125;0.25859374999999996,1.3689843750000001;1.3725,10,0.001,0,2
"ar,c,rho",0.42;0.42499999999999993,0.45499999999999996;0.45999999999999996,0.48;0.485,10,0.001,0,2
"ar,c,rho",0.6143750000000001;0.6154687500000001,0.25859374999999996;0.2590625,1.36546875;1.3689843750000001,10,0.001,0,2
"ar,c,rho",0.42;0.42499999999999993,0.44999999999999996;0.45499999999999996,0.485;0.49,10,0.001,0,2
"ar,c,rho",1.34;1.3425000000000002,1.0950000000000002;1.0975000000000001,1.0350000000000001;1.0375,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6143750000000001,0.25625;0.2571875,1.3584375;1.36546875,10,0.001,0,2
"ar,c,rho",0.6154687500000001;0.6165625000000001,0.258125;0.25859374999999996,1.36546875;1.3689843750000001,10,0.001,0,2
"ar,c,rho",0.6253125000000002;0.62640625,0.24828125;0.24875,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42;0.4225,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.6253125000000002;0.62640625,0.2478125;0.24828125,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.42999999999999994;0.43999999999999995,0.48;0.49,10,0.0010000000000000009,0,2
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42749999999999994;0.42999999999999994,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42749999999999994;0.42999999999999994,0.49;0.4925,10,0.001,0,2
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42499999999999993;0.42749999999999994,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42499999999999993;0.42749999999999994,0.49;0.4925,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45749999999999996,0.42749999999999994;0.42999999999999994,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45749999999999996,0.42749999999999994;0.42999999999999994,0.49;0.4925,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45749999999999996,0.42499999999999993;0.42749999999999994,0.4925;0.495,10,0.001,0,2
"ar,c,rho",0.45499999999999996;0.45749999999999996,0.42499999999999993;0.42749999999999994,0.49;0.4925,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25671875;0.2571875,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25671875;0.2571875,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25625;0.25671875,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25625;0.25671875,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25671875;0.2571875,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25671875;0.2571875,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25625;0.25671875,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25625;0.25671875,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.25296874999999996;0.2534375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.25296874999999996;0.2534375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.2525;0.25296874999999996,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.2525;0.25296874999999996,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.25296874999999996;0.2534375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.25296874999999996;0.2534375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.2525;0.25296874999999996,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.2525;0.25296874999999996,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42499999999999993;0.42999999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42499999999999993;0.42999999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42;0.42499999999999993,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.42;0.42499999999999993,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42499999999999993;0.42999999999999994,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42499999999999993;0.42999999999999994,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42;0.42499999999999993,0.475;0.48,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.42;0.42499999999999993,0.47;0.475,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.25390625;0.254375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.25390625;0.254375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.2534375;0.25390625,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.65046875;0.6515625,0.2534375;0.25390625,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.25390625;0.254375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.25390625;0.254375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.2534375;0.25390625,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.649375;0.65046875,0.2534375;0.25390625,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25671875;0.2571875,1.3689843750000001;1.3725,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25671875;0.2571875,1.36546875;1.3689843750000001,10,0.001,0,2
"ar,c,rho",0.6176562500000001;0.6187500000000001,0.25625;0.25671875,1.3689843750000001;1.3725,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45499999999999996,0.705;0.71,0.515;0.52,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25671875;0.2571875,1.3689843750000001;1.3725,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25671875;0.2571875,1.36546875;1.3689843750000001,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6176562500000001,0.25625;0.25671875,1.3689843750000001;1.3725,10,0.001,0,2
